"Filename","Original Caption","Year Mentioned","Facebook URL"
"Historical Map Delta Northern Section - 1886 Belden Atlas.jpg","This shows part of the northern end of town.  The development of these areas reflects the history of the area.  In 1808, the year that Abel Stevens Sr. sold his mills and northern portion of his downtown Delta property to William Jones, his son, Able Stevens Jr. set up a sawmill on what is called as Foundry Creek on this map, today's Cowans Creek.  His dam created what is shown as Hicocks Pond.  This business activity would have attracted some development to this part of town.","1808","https://www.facebook.com/photo?fbid=1356671783156008"
"Historical Map Delta Downtown Core - 1886 Belden Atlas.jpg","This is a crop showing the downtown core.  This pre-dates the Jubilee Block, in 1892 it was the 3 storey high Singleton Block (which burned down 1896).  We have photos of the Singleton Block on our website.","1892","https://www.facebook.com/photo?fbid=1356671666489353"
"Old Stone Mill Colourized by Glen Russell (Hazel Horton Photo).jpg","This is a ""hand colourized"" (using software) version of the previous image done by Glen Russell.  In this case Glen did make a decision to improve the image slightly by adding the rest of the roofline on the mill which was blown out in the original b&w photo.","","https://www.facebook.com/photo?fbid=1339122694910917"
"Hazel Horton at Old Stone Mill - Original Black and White Photo Scan.jpg","This is the starting point for the two enhanced images, the AI photo (previous) and the colourized photo (next image).  This is a scan of the original black and white photo.","","https://www.facebook.com/photo?fbid=1339122628244257"
"Hazel Horton in a Canoe - AI Colourized Version of Original Photo.jpg","Hazel Horton (?) in a canoe.  This is a AI recreation of a colourized version of the original photo scan (see next images).  Both the original b&w photo and a colourized version are very blurry, the face is not clear.  AI has recreated a face.  While not authentic, it does bring the original blurry photo to life.  When using AI, I (Ken) check to try to ensure that no new elements are added that would impact the heritage authenticity of the photo.","","https://www.facebook.com/photo?fbid=1339122464910940"
"Hazel Horton Painting of Delta Mill Area c.1906.jpg","In this painting, done by Hazel Horton in about 1906, we see the very high stack of the boiler chimney.  The high height improved the draft of the boiler, making it more efficient.  It was installed by mill owner George Haskin in about 1898.  It allowed the mill and/or sawmill to operate in times of low water flow when the turbines weren't working.","1898","https://www.facebook.com/photo?fbid=1339122251577628"
"Section from NTS 31C09 - 1949.jpg","Section from NTS 31C/09 - 1949","1949","https://www.facebook.com/photo?fbid=1329565145866672"
"Section from NTS 31C09 - 1969.jpg","Section from NTS 31C/09 - 1969","1969","https://www.facebook.com/photo?fbid=1329565122533341"
"Section from NTS 31C09 (then just called Westport Sheet No.100) - 1927.jpg","Section from NTS 31C/09 (then just called Westport Sheet No.100) - 1927","1927","https://www.facebook.com/photo?fbid=1329565089200011"
"1897 Insurance Map of Delta by C.E. Goad - Part 2 of 2.jpg","1897 Insurance Map of Delta by C.E. Goad - Part 2 of 2","1897","https://www.facebook.com/photo?fbid=1325253932964460"
"1897 Insurance Map of Delta by C.E. Goad - Part 1 of 2.jpg","1897 Insurance Map of Delta by C.E. Goad - Part 1 of 2","1897","https://www.facebook.com/photo?fbid=1325253906297796"
"Village of Delta in 1861-62.jpg","Village of Delta in 1861-62","1861","https://www.facebook.com/photo?fbid=1325253872964466"
"Section from Lt. Joshua Jebb's 1816 Map of the Rideau Route.jpg","Section from Lt. Joshua Jebb's 1816 Map of the Rideau Route","1816","https://www.facebook.com/photo?fbid=1325253852964468"
"Annotated Section from Lewis Grant's 1795 Survey Map.jpg","Annotated Section from Lewis Grant's 1795 Survey Map","1795","https://www.facebook.com/photo?fbid=1325253802964473"
"Section from Lt. Gershom French's 1783 survey map of the Rideau Route.jpg","Section from Lt. Gershom French's 1783 survey map of the Rideau Route.","1783","https://www.facebook.com/photo?fbid=1325253792964474"
"Map of lots for Stevens' settlers by Lewis Grant c.1795.jpg","Map of lots for Stevens' settlers by Lewis Grant c.1795","1795","https://www.facebook.com/photo?fbid=1325253762964477"
"Parade Bicycles - 1939.jpg","Parade Bicycles - 1939","1939","https://www.facebook.com/photo?fbid=1321420653347788"
"Old Stone Bridge, c.early 1960s.jpg","Old Stone Bridge, c.early 1960s","early 1960s","https://www.facebook.com/photo?fbid=1321420613347792"
"Delta Train Station c.1905.jpg","Delta Train Station c.1905","1905","https://www.facebook.com/photo?fbid=1321420583347795"
"King Street looking north, c.1930.jpg","King Street looking north, c.1930","1930","https://www.facebook.com/photo?fbid=1321420496681137"
"Delta Flood - April 1950.jpg","Delta Flood - April 1950","1950","https://www.facebook.com/photo?fbid=1321420450014475"
"Delta Jubilee Block - c.early 1930s.jpg","Delta Jubilee Block - c.early 1930s","early 1930s","https://www.facebook.com/photo?fbid=1321420423347811"
"Grand Central Hotel and Mill Stream c. 1910s.jpg","Grand Central Hotel and Mill Stream c. 1910s","1910","https://www.facebook.com/photo?fbid=1321420323347821"
"Grand Central Hotel (aka Beverley House Hotel, aka Delta Hotel , aka Flood Hotel) c.1900.jpg","Grand Central Hotel (aka Beverley House Hotel, aka Delta Hotel , aka Flood Hotel) c.1900","1900","https://www.facebook.com/photo?fbid=1321420290014491"
"Downtown Delta c.1905.jpg","Downtown Delta c.1905","1905","https://www.facebook.com/photo?fbid=1321420270014493"
"Delta Public School - 1939.jpg","Delta Public School - 1939","1939","https://www.facebook.com/photo?fbid=1321420163347837"
"Looking North along King Street pre-1929.jpg","Looking North along King Street pre-1929","1929","https://www.facebook.com/photo?fbid=1321420123347841"
"South side of Old Stone Mill, 1957.jpg","South side of Old Stone Mill, 1957","1957","https://www.facebook.com/photo?fbid=1321420090014511"
